,bw,loglambda,contam_data,IFsupnorm_ML,IFsupnorm_SM
31,7.0,-10.0,160.0,112.53254887407138,514.1238068707064
32,7.0,-10.0,165.0,112.58543361363138,516.994952876078
33,7.0,-10.0,170.0,112.61455432973477,519.7491771463409
34,7.0,-10.0,175.0,112.62861963603754,522.3885688015812
35,7.0,-10.0,180.0,112.63381881897061,524.915625890455
36,7.0,-10.0,185.0,112.63571281730478,527.3328782597913
37,7.0,-10.0,190.0,112.63580107490512,529.6427331610961
38,7.0,-10.0,195.0,112.63635449941134,531.8474248757325
39,7.0,-10.0,200.0,112.63574358446604,534.0029541601061
40,7.0,-10.0,205.0,112.63643065326079,536.072393350552
41,7.0,-10.0,210.0,112.63553524647207,538.0466055694859
42,7.0,-10.0,215.0,112.63645641064457,539.9268493498774
43,7.0,-10.0,220.0,112.63533998096165,541.755717743846
44,7.0,-10.0,225.0,112.63645400367395,543.5359700525881
45,7.0,-10.0,230.0,112.63557479809094,545.2286499869143
46,7.0,-10.0,235.0,112.63642394452233,546.8344759315275
47,7.0,-10.0,240.0,112.63578198276036,548.4368963033662
48,7.0,-10.0,245.0,112.63636625790241,549.9671441611137
49,7.0,-10.0,250.0,112.63596154245903,551.4147965909041
50,7.0,-10.0,255.0,112.63628094634726,552.8422396810067
51,7.0,-10.0,260.0,112.63611347781222,554.2290856743003
52,7.0,-10.0,265.0,112.63616801019793,555.536428772074
53,7.0,-10.0,270.0,112.63623778875598,556.8242543765493
54,7.0,-10.0,275.0,112.63602744959655,558.082335582415
55,7.0,-10.0,280.0,112.63633446096577,559.2631871931179
56,7.0,-10.0,285.0,112.63585041028534,560.4400173188436
57,7.0,-10.0,290.0,112.63504227004262,561.5807508493224
58,7.0,-10.0,295.0,112.56576960322207,562.6459453268736
59,7.0,-10.0,300.0,111.29767068648277,563.7352250543047
0,7.0,-12.0,5.0,100.15899530453964,14918.860087972313
1,7.0,-12.0,10.0,110.47935941127207,7438.958745409143
2,7.0,-12.0,15.0,111.87531243117022,5228.627045059808
3,7.0,-12.0,20.0,109.94942862263457,4457.6550788519835
4,7.0,-12.0,25.0,104.23558863555193,4809.628848645466
5,7.0,-12.0,30.0,91.62486949756321,5628.623117119183
6,7.0,-12.0,35.0,70.27072923895261,1828.6251911947134
7,7.0,-12.0,40.0,43.27434187738888,1662.428162258164
8,7.0,-12.0,45.0,18.913704027814227,379.90230145884806
9,7.0,-12.0,50.0,5.765757602348209,74.02252909300167
10,7.0,-12.0,55.0,4.081828554777012,24.361933353503563
11,7.0,-12.0,60.0,5.658352860874238,14.453860592269052
12,7.0,-12.0,65.0,6.5544071070631205,18.735727178014415
13,7.0,-12.0,70.0,5.347929796055695,14.21970185609589
14,7.0,-12.0,75.0,3.1075118297958504,11.037375426904639
15,7.0,-12.0,80.0,2.342095632991814,5.252162785946091
16,7.0,-12.0,85.0,2.622829836866458,8.630440717116272
17,7.0,-12.0,90.0,6.931020141244915,42.37881126715504
18,7.0,-12.0,95.0,18.49994256170273,212.80958127939175
19,7.0,-12.0,100.0,36.31707123686567,1581.130740112833
20,7.0,-12.0,105.0,55.73845527740495,2397.733768133593
21,7.0,-12.0,110.0,72.56157043997113,2782.492956074317
22,7.0,-12.0,115.0,85.25128819778338,3818.820019513905
23,7.0,-12.0,120.0,94.35334595417366,3427.093377094557
24,7.0,-12.0,125.0,100.89961728538022,3356.6836833751327
25,7.0,-12.0,130.0,105.56073206841532,3357.353890149571
26,7.0,-12.0,135.0,108.70655894116865,3362.143528837892
27,7.0,-12.0,140.0,110.67928074002431,3365.904112167011
28,7.0,-12.0,145.0,111.80807724003827,3369.355258940147
29,7.0,-12.0,150.0,112.38015852740624,3372.3815337892115
30,7.0,-12.0,155.0,112.63595984511632,3375.0941268541296
31,7.0,-12.0,160.0,112.74455297584751,3377.8039599609206
32,7.0,-12.0,165.0,112.7976006840754,3380.564615261704
33,7.0,-12.0,170.0,112.82680698700531,3383.014397735743
34,7.0,-12.0,175.0,112.84091529788753,3385.3362511687283
35,7.0,-12.0,180.0,112.84613286632705,3387.8465933925545
36,7.0,-12.0,185.0,112.8480343590823,3390.0202358525685
37,7.0,-12.0,190.0,112.84812477281037,3392.1033533694235
38,7.0,-12.0,195.0,112.84867962729805,3394.3423781162624
39,7.0,-12.0,200.0,112.84806822601468,3396.224746342561
40,7.0,-12.0,205.0,112.84875618917312,3398.184692170636
41,7.0,-12.0,210.0,112.84785972420508,3400.1357666171907
42,7.0,-12.0,215.0,112.84878199719373,3401.714039954157
43,7.0,-12.0,220.0,112.84766422835801,3403.6411864816155
44,7.0,-12.0,225.0,112.8487795880524,3405.2899802074267
45,7.0,-12.0,230.0,112.84789932740225,3406.7930273476304
46,7.0,-12.0,235.0,112.84874949284784,3408.518652921214
47,7.0,-12.0,240.0,112.84810676069412,3409.852695368868
48,7.0,-12.0,245.0,112.84869173699974,3411.441754725702
49,7.0,-12.0,250.0,112.84828653587908,3412.8520381237367
50,7.0,-12.0,255.0,112.84860632306959,3414.0944416422963
51,7.0,-12.0,260.0,112.84843865356464,3415.5846307475176
52,7.0,-12.0,265.0,112.84849325139135,3416.66849335527
53,7.0,-12.0,270.0,112.84856311368685,3418.0793630774087
54,7.0,-12.0,275.0,112.8483525220787,3419.2415592057523
55,7.0,-12.0,280.0,112.84865988958614,3420.3609977534693
56,7.0,-12.0,285.0,112.8481741370777,3421.603717257028
57,7.0,-12.0,290.0,112.8473188999024,3422.450881807895
58,7.0,-12.0,295.0,112.77714773650871,3423.7757304950856
59,7.0,-12.0,300.0,111.50163492988696,3424.679073406918
0,9.0,-8.0,5.0,134.96198521149694,871.1020933698495
1,9.0,-8.0,10.0,148.47106987202352,403.5427377040267
2,9.0,-8.0,15.0,150.305417396158,248.08716368767833
3,9.0,-8.0,20.0,148.90097799987956,170.71049570349038
4,9.0,-8.0,25.0,134.62621674251452,125.37183462959744
5,9.0,-8.0,30.0,111.66317706974738,102.98497811453
6,9.0,-8.0,35.0,82.00420958339372,101.66508997750334
7,9.0,-8.0,40.0,51.25058790502557,90.51684878227606
8,9.0,-8.0,45.0,26.153421027338197,32.77810311280271
9,9.0,-8.0,50.0,5.410864395814841,9.42823809128357
10,9.0,-8.0,55.0,4.21062223251667,4.899168750779004
11,9.0,-8.0,60.0,4.231794145576728,6.507917929203577
12,9.0,-8.0,65.0,4.616637806452495,6.746762979733756
13,9.0,-8.0,70.0,3.9806451564405876,6.047787886134803
14,9.0,-8.0,75.0,2.599694522959606,4.081601870873697
15,9.0,-8.0,80.0,2.4605825553960514,2.6188155072875974
16,9.0,-8.0,85.0,2.741072274938361,3.1955336404764223
17,9.0,-8.0,90.0,6.407552598718169,6.937359171478363
18,9.0,-8.0,95.0,18.1635701012981,17.757003938101757
19,9.0,-8.0,100.0,37.82071483324856,40.90156860277272
20,9.0,-8.0,105.0,61.97317796518931,49.260304139344456
21,9.0,-8.0,110.0,86.08035962360638,48.51381733547244
22,9.0,-8.0,115.0,106.76137212779402,46.70245066326029
23,9.0,-8.0,120.0,122.7694355279052,45.972739926191
24,9.0,-8.0,125.0,134.47465688488336,47.00156206573808
25,9.0,-8.0,130.0,142.79666307537653,48.09232555966947
26,9.0,-8.0,135.0,148.54548971597836,48.96596698223515
27,9.0,-8.0,140.0,152.336285446534,49.74022649394516
