,bw,loglambda,contam_data,IFsupnorm
32,7.0,-10.0,130.0,57.20488409374881
33,7.0,-10.0,134.0,65.06891023683708
34,7.0,-10.0,138.0,90.04693783879429
35,7.0,-10.0,142.0,91.9764451056538
36,7.0,-10.0,146.0,88.25773298216093
37,7.0,-10.0,150.0,83.151406642533
38,7.0,-10.0,154.0,82.32665125557656
39,7.0,-10.0,158.0,86.72322643371592
40,7.0,-10.0,162.0,75.50619168197036
41,7.0,-10.0,166.0,73.2797542542861
42,7.0,-10.0,170.0,111.41886003747373
43,7.0,-10.0,174.0,73.08203236113124
44,7.0,-10.0,178.0,89.26026785971288
45,7.0,-10.0,182.0,153.44402754603948
46,7.0,-10.0,186.0,70.48736651890286
47,7.0,-10.0,190.0,85.85293337392845
48,7.0,-10.0,194.0,65.94038874729387
49,7.0,-10.0,198.0,54.92862982153572
50,7.0,-10.0,202.0,101.35204640586267
51,7.0,-10.0,206.0,109.87965807001392
52,7.0,-10.0,210.0,96.42503372292705
53,7.0,-10.0,214.0,73.94441545117243
54,7.0,-10.0,218.0,81.22818180648645
55,7.0,-10.0,222.0,74.9200703802668
56,7.0,-10.0,226.0,117.02168262038485
57,7.0,-10.0,230.0,79.08026361337329
58,7.0,-10.0,234.0,88.59519248357554
59,7.0,-10.0,238.0,69.05359441279283
60,7.0,-10.0,242.0,85.46399857799291
61,7.0,-10.0,246.0,80.87280235447606
62,7.0,-10.0,250.0,79.50827676829886
63,7.0,-10.0,254.0,85.88129193325737
64,7.0,-10.0,258.0,65.81832157696093
65,7.0,-10.0,262.0,100.65408263378632
66,7.0,-10.0,266.0,68.27374417752081
67,7.0,-10.0,270.0,79.39291598047137
68,7.0,-10.0,274.0,101.796428735064
69,7.0,-10.0,278.0,64.47336657469913
70,7.0,-10.0,282.0,81.51215845401205
71,7.0,-10.0,286.0,72.84358397969315
72,7.0,-10.0,290.0,83.99656318379085
73,7.0,-10.0,294.0,66.4615279957828
74,7.0,-10.0,298.0,84.03643882732226
75,7.0,-10.0,302.0,83.2556387210561
76,7.0,-10.0,306.0,76.1613882344596
77,7.0,-10.0,310.0,54.923222922254574
78,7.0,-10.0,314.0,75.82485476535948
79,7.0,-10.0,318.0,81.2197322662038
