,bw,loglambda,contam_data,IFsupnorm
58,7.0,-8.0,234.0,71.86245888238159
59,7.0,-8.0,238.0,72.01014582675765
60,7.0,-8.0,242.0,72.14954195958096
61,7.0,-8.0,246.0,72.28333602340584
62,7.0,-8.0,250.0,72.41982037931356
63,7.0,-8.0,254.0,72.53962576451184
64,7.0,-8.0,258.0,72.67399619516392
65,7.0,-8.0,262.0,72.79234177552512
66,7.0,-8.0,266.0,72.91269080553361
67,7.0,-8.0,270.0,73.03026946986508
68,7.0,-8.0,274.0,73.13645699081759
69,7.0,-8.0,278.0,73.25389089152773
70,7.0,-8.0,282.0,73.35654465204185
71,7.0,-8.0,286.0,73.463638022606
72,7.0,-8.0,290.0,73.56714487201153
73,7.0,-8.0,294.0,73.65989983638387
74,7.0,-8.0,298.0,73.76472991929019
75,7.0,-8.0,302.0,73.8557831279828
76,7.0,-8.0,306.0,73.94960714094934
77,7.0,-8.0,310.0,74.04276147066236
78,7.0,-8.0,314.0,74.12262693769507
79,7.0,-8.0,318.0,74.21767259759326
80,7.0,-8.0,322.0,74.30030996998764
81,7.0,-8.0,326.0,74.38074014239248
82,7.0,-8.0,330.0,74.46645627689985
83,7.0,-8.0,334.0,74.5395823211639
84,7.0,-8.0,338.0,74.62124487692245
85,7.0,-8.0,342.0,74.69798701156347
86,7.0,-8.0,346.0,74.76484224961595
87,7.0,-8.0,350.0,74.84543983207769
88,7.0,-8.0,354.0,74.91401853840651
89,7.0,-8.0,358.0,74.98207548199458
90,7.0,-8.0,362.0,75.0549461949094
91,7.0,-8.0,366.0,75.11607459606238
92,7.0,-8.0,370.0,75.18537147546141
93,7.0,-8.0,374.0,75.25117708576859
94,7.0,-8.0,378.0,75.3054854326249
95,7.0,-8.0,382.0,75.3760429503646
96,7.0,-8.0,386.0,75.43536990028
97,7.0,-8.0,390.0,75.49075760110946
98,7.0,-8.0,394.0,75.55524270181864
99,7.0,-8.0,398.0,75.60861280050737
100,7.0,-8.0,402.0,75.66517423351368
101,7.0,-8.0,406.0,75.72398723397563
0,7.0,-10.0,2.0,4102.1436702303245
1,7.0,-10.0,6.0,1339.6184542452818
2,7.0,-10.0,10.0,835.9774685432169
3,7.0,-10.0,14.0,647.4884777111138
4,7.0,-10.0,18.0,563.7128868458615
5,7.0,-10.0,22.0,532.250910289692
6,7.0,-10.0,26.0,548.5361413670347
7,7.0,-10.0,30.0,580.0672973757579
8,7.0,-10.0,34.0,421.91537560307546
9,7.0,-10.0,38.0,226.53663085053094
10,7.0,-10.0,42.0,206.58843108903557
11,7.0,-10.0,46.0,66.25821805452685
12,7.0,-10.0,50.0,21.43226607205366
13,7.0,-10.0,54.0,8.800110771960723
14,7.0,-10.0,58.0,11.151437426964995
15,7.0,-10.0,62.0,14.268744952031408
16,7.0,-10.0,66.0,13.907780862804264
17,7.0,-10.0,70.0,11.9747818801756
18,7.0,-10.0,74.0,8.019654153503186
19,7.0,-10.0,78.0,4.422770725699021
20,7.0,-10.0,82.0,4.331445272324941
21,7.0,-10.0,86.0,6.974583385271327
22,7.0,-10.0,90.0,16.10870999244702
23,7.0,-10.0,94.0,59.76669450146965
24,7.0,-10.0,98.0,87.21114902869127
25,7.0,-10.0,102.0,199.10522125949666
26,7.0,-10.0,106.0,338.8105257719995
27,7.0,-10.0,110.0,497.70439687972413
28,7.0,-10.0,114.0,496.028552259151
29,7.0,-10.0,118.0,462.43595897338867
30,7.0,-10.0,122.0,451.96120193671464
31,7.0,-10.0,126.0,450.95209090216883
32,7.0,-10.0,130.0,451.74296346406277
33,7.0,-10.0,134.0,452.5652883297462
34,7.0,-10.0,138.0,453.06474660294424
35,7.0,-10.0,142.0,453.4282419248634
36,7.0,-10.0,146.0,453.7029435949905
37,7.0,-10.0,150.0,453.89890033165346
38,7.0,-10.0,154.0,454.141966893942
39,7.0,-10.0,158.0,454.2824026046248
40,7.0,-10.0,162.0,454.5108361853886
41,7.0,-10.0,166.0,454.67359916427324
42,7.0,-10.0,170.0,454.8331496777743
43,7.0,-10.0,174.0,455.02433870624424
44,7.0,-10.0,178.0,455.1288007126364
45,7.0,-10.0,182.0,455.3340035038113
46,7.0,-10.0,186.0,455.4722950027473
47,7.0,-10.0,190.0,455.60057116266364
48,7.0,-10.0,194.0,455.77434945468065
49,7.0,-10.0,198.0,455.8676954360302
50,7.0,-10.0,202.0,456.03280805066663
51,7.0,-10.0,206.0,456.1649213554508
52,7.0,-10.0,210.0,456.245841390204
53,7.0,-10.0,214.0,456.4178514159737
54,7.0,-10.0,218.0,456.5139374834607
55,7.0,-10.0,222.0,456.6248303808564
56,7.0,-10.0,226.0,456.7632112158237
57,7.0,-10.0,230.0,456.8278943334376
58,7.0,-10.0,234.0,456.96593398866366
59,7.0,-10.0,238.0,457.07488238840534
60,7.0,-10.0,242.0,457.1208278316833
61,7.0,-10.0,246.0,457.2746890804829
62,7.0,-10.0,250.0,457.3577089050136
63,7.0,-10.0,254.0,457.42615836119126
64,7.0,-10.0,258.0,457.5556024491982
65,7.0,-10.0,262.0,457.61564729667094
66,7.0,-10.0,266.0,457.7046357673666
67,7.0,-10.0,270.0,457.812379676968
68,7.0,-10.0,274.0,457.85196098193325
69,7.0,-10.0,278.0,457.9597309822955
70,7.0,-10.0,282.0,458.04809560901845
71,7.0,-10.0,286.0,458.06936567292604
72,7.0,-10.0,290.0,458.1943404392176
73,7.0,-10.0,294.0,458.2653230752012
74,7.0,-10.0,298.0,458.28995000593983
75,7.0,-10.0,302.0,458.4109002113256
76,7.0,-10.0,306.0,458.46623132437026
77,7.0,-10.0,310.0,458.50542071976116
78,7.0,-10.0,314.0,458.6114739786704
79,7.0,-10.0,318.0,458.65266217174866
80,7.0,-10.0,322.0,458.70525361751857
81,7.0,-10.0,326.0,458.79782156676214
82,7.0,-10.0,330.0,458.8261895323154
83,7.0,-10.0,334.0,458.8911288496141
84,7.0,-10.0,338.0,458.97145288525076
85,7.0,-10.0,342.0,458.98816642084137
86,7.0,-10.0,346.0,459.0644934822248
87,7.0,-10.0,350.0,459.13367077065664
88,7.0,-10.0,354.0,459.1397623926169
89,7.0,-10.0,358.0,459.2266005617107
90,7.0,-10.0,362.0,459.2856053078748
91,7.0,-10.0,366.0,459.28199361876983
92,7.0,-10.0,370.0,459.3785405772847
93,7.0,-10.0,374.0,459.42824154434413
94,7.0,-10.0,378.0,459.4182007341031
95,7.0,-10.0,382.0,459.5212669935462
96,7.0,-10.0,386.0,459.56244203472875
97,7.0,-10.0,390.0,459.56073556227574
98,7.0,-10.0,394.0,459.6556171171814
99,7.0,-10.0,398.0,459.68896530717217
100,7.0,-10.0,402.0,459.69496813790363
101,7.0,-10.0,406.0,459.78232926315485
0,7.0,-12.0,2.0,5447.481385367088
1,7.0,-12.0,6.0,3625.8956000907033
2,7.0,-12.0,10.0,3134.5126512083825
3,7.0,-12.0,14.0,2812.4344384203664
4,7.0,-12.0,18.0,3080.8341333978096
5,7.0,-12.0,22.0,3068.215269105682
